LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 108465, 0, 4.792257294979947, 49.87451424870466, 4.792213112864854,
1, 320379, 0, 34.61181912672179, 49.87451424870466, 34.6117110930766,
2, 133569, 0, 81.53089414459942, 99.50657894736842, 81.53028374635024,
3, 133569, 0, 81.53089414459942, 99.50657894736842, 81.53028374635024,
4, 117667, 0, 89.21447814595426, 99.04891304347827, 89.21371995784753,
5, 117667, 0, 89.21447814595426, 99.04891304347827, 89.21371995784753,
6, 117667, 0, 89.21447814595426, 99.04891304347827, 89.21371995784753,
7, 117667, 0, 89.21447814595426, 99.04891304347827, 89.21371995784753,
8, 116687, 0, 83.42317481810313, 88.02083333333334, 83.42245989304814,
9, 116687, 0, 83.42317481810313, 88.02083333333334, 83.42245989304814,
10, 116687, 0, 83.42317481810313, 88.02083333333334, 83.42245989304814,
11, 116687, 0, 83.42317481810313, 88.02083333333334, 83.42245989304814,
12, 38895, 0, 53.31276513690706, 56.25, 53.31139448786507,
13, 38895, 0, 53.31276513690706, 56.25, 53.31139448786507,
14, 38895, 0, 53.31276513690706, 56.25, 53.31139448786507,
15, 38895, 0, 53.31276513690706, 56.25, 53.31139448786507,
16, 24511, 0, 0.5222145159316225, 0.78125, 0.5221932114882506,
17, 24511, 0, 0.5222145159316225, 0.78125, 0.5221932114882506,
18, 6127, 0, 0.510037538762853, 0.762939453125, 0.5099543080939948,
