LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 12.268178675148665, 6.149522887567418, 29.991167657769786, 8.972283483340288, 0.8236415633937083, 43.48483553447848,
1, 88.60625696440778, 44.41459646231495, 10.15357436036694, 7.942122482165845, 8.787604290822408, 14.765193253788073,
2, 104.35954450508726, 104.87702984974058, 11.777583121832162, 8.46752853141591, 8.78917565714967, 33.42310597069676,
3, 104.35954450508726, 104.87702984974058, 11.777583121832162, 8.46752853141591, 8.78917565714967, 33.42310597069676,
4, 114.19453202682145, 115.2910501669967, 6.444219704760044, 9.815936518028538, 9.698500394632992, 128.0,
5, 114.19453202682145, 115.2910501669967, 6.444219704760044, 9.815936518028538, 9.698500394632992, 128.0,
6, 114.19453202682145, 115.2910501669967, 6.444219704760044, 9.815936518028538, 9.698500394632992, 128.0,
7, 114.19453202682145, 115.2910501669967, 6.444219704760044, 9.815936518028538, 9.698500394632992, 128.0,
8, 106.781663767172, 121.31407954613624, 3.018811007224455, 9.570549806876162, 19.056596265687176, 128.0,
9, 106.781663767172, 121.31407954613624, 3.018811007224455, 9.570549806876162, 19.056596265687176, 128.0,
10, 106.781663767172, 121.31407954613624, 3.018811007224455, 9.570549806876162, 19.056596265687176, 128.0,
11, 106.781663767172, 121.31407954613624, 3.018811007224455, 9.570549806876162, 19.056596265687176, 128.0,
12, 68.24033937524104, 121.31615888931739, 1.9482195654968506, 9.570093457943925, 27.13235422295825, 128.0,
13, 68.24033937524104, 121.31615888931739, 1.9482195654968506, 9.570093457943925, 27.13235422295825, 128.0,
14, 68.24033937524104, 121.31615888931739, 1.9482195654968506, 9.570093457943925, 27.13235422295825, 128.0,
15, 68.24033937524104, 121.31615888931739, 1.9482195654968506, 9.570093457943925, 27.13235422295825, 128.0,
16, 0.6684345803924768, 85.55962629023703, 0.5013259352943576, 0.2440419447092469, 16.227807354215674, 128.0,
17, 0.6684345803924768, 85.55962629023703, 0.5013259352943576, 0.2440419447092469, 16.227807354215674, 128.0,
18, 0.6685164028072467, 83.56455035090583, 0.49747021380773626, 0.2440419447092469, 9.76577401388571, 125.0,
