Layer	Compute_Cycles	Overall_Utilization
0	108465	4.79
1	320379	34.61
2	133569	81.53
3	133569	81.53
4	117667	89.21
5	117667	89.21
6	117667	89.21
7	117667	89.21
8	116687	83.42
9	116687	83.42
10	116687	83.42
11	116687	83.42
12	38895	53.31
13	38895	53.31
14	38895	53.31
15	38895	53.31
16	24511	0.52
17	24511	0.52
18	6127	0.51
