LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 848.0, 44217, 1.0, 1071.0, 78336, 152.0, 1325.0, 75008, -1049.0, -1.0, 6137, -4194.0, -1.0, 39168, 1325.0, 1613.0, 73984,
1, 1.0, 5150.0, 665856, 1.0, 5373.0, 1179648, 2303.0, 5627.0, 75008, -9437.0, -1.0, 92416, -52425.0, 4734.0, 1179648, 5627.0, 5915.0, 73984,
2, 1.0, 5150.0, 665856, 1.0, 5373.0, 1179648, 2303.0, 5627.0, 75008, -9437.0, -1.0, 92416, -52425.0, 4734.0, 1179648, 5627.0, 5915.0, 73984,
3, 1.0, 1126.0, 92416, 1.0, 1022.0, 512, 255.0, 1276.0, 1385, -9437.0, -1.0, 92416, -1049.0, -1.0, 256, 1531.0, 1532.0, 361,
4, 1.0, 361.0, 361, 1.0, 616.0, 92416, 615.0, 870.0, 768, -1049.0, -1.0, 361, -9437.0, -1.0, 92416, 870.0, 870.0, 256,
5, 1.0, 256.0, 256, 1.0, 256.0, 256, 510.0, 510.0, 513, -1049.0, -1.0, 256, -1049.0, -1.0, 256, 765.0, 765.0, 1,
6, 1.0, 1126.0, 92416, 1.0, 1023.0, 1024, 255.0, 1277.0, 1746, -9437.0, -1.0, 92416, -1049.0, -1.0, 512, 1531.0, 1533.0, 722,
7, 1.0, 1954.0, 1444, 1.0, 2059.0, 261364, 976.0, 2313.0, 1386, -1049.0, -1.0, 722, -26213.0, -1.0, 261364, 2463.0, 2464.0, 362,
