Layer	Compute_Cycles	Overall_Utilization
0	103640	1.25
1	209597	13.23
2	79775	34.13
3	79775	34.13
4	33767	77.72
5	33767	77.72
6	33767	77.72
7	33767	77.72
8	30707	79.25
9	30707	79.25
10	30707	79.25
11	30707	79.25
12	10235	50.65
13	10235	50.65
14	10235	50.65
15	10235	50.65
16	16351	0.2
17	16351	0.2
18	4087	0.19
