LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 103262.0, 1330668, 1.0, 103194.0, 333504, 26.0, 103448.0, 3252992, -16777.0, -1.0, 150528, -2098.0, -1.0, 1728, 34394.0, 103673.0, 3154431,
1, 1.0, 209219.0, 28387584, 1.0, 209151.0, 7114752, 575.0, 209405.0, 3252992, -104855.0, 201504.0, 3282098, -4195.0, -1.0, 36864, 70079.0, 209630.0, 3154431,
2, 1.0, 79333.0, 13939200, 1.0, 79393.0, 7077888, 1151.0, 79647.0, 1573376, -104855.0, 50734.0, 1624615, -16777.0, -1.0, 147456, 54335.0, 81729.0, 1549055,
3, 1.0, 79333.0, 13939200, 1.0, 79393.0, 7077888, 1151.0, 79647.0, 1573376, -104855.0, 50734.0, 1624615, -16777.0, -1.0, 147456, 54335.0, 81729.0, 1549055,
4, 1.0, 33357.0, 6718464, 1.0, 33513.0, 7077888, 2303.0, 33767.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 33767.0, 36682.0, 746496,
5, 1.0, 33357.0, 6718464, 1.0, 33513.0, 7077888, 2303.0, 33767.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 33767.0, 36682.0, 746496,
6, 1.0, 33357.0, 6718464, 1.0, 33513.0, 7077888, 2303.0, 33767.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 33767.0, 36682.0, 746496,
7, 1.0, 33357.0, 6718464, 1.0, 33513.0, 7077888, 2303.0, 33767.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 33767.0, 36682.0, 746496,
8, 1.0, 30361.0, 6230016, 1.0, 30453.0, 7077888, 4607.0, 30707.0, 349184, -41942.0, -1.0, 401408, -104855.0, 27253.0, 7077888, 30707.0, 32058.0, 346112,
9, 1.0, 30361.0, 6230016, 1.0, 30453.0, 7077888, 4607.0, 30707.0, 349184, -41942.0, -1.0, 401408, -104855.0, 27253.0, 7077888, 30707.0, 32058.0, 346112,
10, 1.0, 30361.0, 6230016, 1.0, 30453.0, 7077888, 4607.0, 30707.0, 349184, -41942.0, -1.0, 401408, -104855.0, 27253.0, 7077888, 30707.0, 32058.0, 346112,
11, 1.0, 30361.0, 6230016, 1.0, 30453.0, 7077888, 4607.0, 30707.0, 349184, -41942.0, -1.0, 401408, -104855.0, 27253.0, 7077888, 30707.0, 32058.0, 346112,
12, 1.0, 9869.0, 1327104, 1.0, 9981.0, 2359296, 4719.0, 10235.0, 74752, -10486.0, -1.0, 100352, -104855.0, 8830.0, 2359296, 10235.0, 10522.0, 73728,
13, 1.0, 9869.0, 1327104, 1.0, 9981.0, 2359296, 4719.0, 10235.0, 74752, -10486.0, -1.0, 100352, -104855.0, 8830.0, 2359296, 10235.0, 10522.0, 73728,
14, 1.0, 9869.0, 1327104, 1.0, 9981.0, 2359296, 4719.0, 10235.0, 74752, -10486.0, -1.0, 100352, -104855.0, 8830.0, 2359296, 10235.0, 10522.0, 73728,
15, 1.0, 9869.0, 1327104, 1.0, 9981.0, 2359296, 4719.0, 10235.0, 74752, -10486.0, -1.0, 100352, -104855.0, 8830.0, 2359296, 10235.0, 10522.0, 73728,
16, 1.0, 15842.0, 8192, 1.0, 16097.0, 2097152, 766.0, 16351.0, 12288, -2098.0, -1.0, 512, -104855.0, 16088.0, 2097152, 16351.0, 16366.0, 4096,
17, 1.0, 15842.0, 8192, 1.0, 16097.0, 2097152, 766.0, 16351.0, 12288, -2098.0, -1.0, 512, -104855.0, 16088.0, 2097152, 16351.0, 16366.0, 4096,
18, 1.0, 3578.0, 2048, 1.0, 3809.0, 512000, 766.0, 4063.0, 3048, -2098.0, -1.0, 512, -52428.0, -1.0, 512000, 4087.0, 4090.0, 1000,
