LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 103640, 0, 1.2538406684195291, 24.93725712435233, 1.2538285704981684,
1, 209597, 0, 13.226453622904907, 24.93725712435233, 13.226390518993536,
2, 79775, 0, 34.12723284236916, 49.23502604166667, 34.126805054151596,
3, 79775, 0, 34.12723284236916, 49.23502604166667, 34.126805054151596,
4, 33767, 0, 77.72085171913406, 94.921875, 77.71855010660981,
5, 33767, 0, 77.72085171913406, 94.921875, 77.71855010660981,
6, 33767, 0, 77.72085171913406, 94.921875, 77.71855010660981,
7, 33767, 0, 77.72085171913406, 94.921875, 77.71855010660981,
8, 30707, 0, 79.25228775197837, 88.02083333333334, 79.24970691676437,
9, 30707, 0, 79.25228775197837, 88.02083333333334, 79.24970691676437,
10, 30707, 0, 79.25228775197837, 88.02083333333334, 79.24970691676437,
11, 30707, 0, 79.25228775197837, 88.02083333333334, 79.24970691676437,
12, 10235, 0, 50.64973131411822, 56.25, 50.64478311840562,
13, 10235, 0, 50.64973131411822, 56.25, 50.64478311840562,
14, 10235, 0, 50.64973131411822, 56.25, 50.64478311840562,
15, 10235, 0, 50.64973131411822, 56.25, 50.64478311840562,
16, 16351, 0, 0.19570668460644608, 0.390625, 0.19569471624266144,
17, 16351, 0, 0.19570668460644608, 0.390625, 0.19569471624266144,
18, 4087, 0, 0.19115488133104966, 0.3814697265625, 0.19110812133072405,
