LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 117962, 0, 17.625750241603228, 99.8784046692607, 17.6256008239871,
1, 541241, 0, 81.95166293758233, 99.8784046692607, 81.9515115234957,
2, 485639, 0, 89.6962558608349, 99.50657894736842, 89.69607116382566,
3, 485639, 0, 89.6962558608349, 99.50657894736842, 89.69607116382566,
4, 447119, 0, 93.91325351863821, 99.04891304347827, 93.91304347826063,
5, 447119, 0, 93.91325351863821, 99.04891304347827, 93.91304347826063,
6, 447119, 0, 93.91325351863821, 99.04891304347827, 93.91304347826063,
7, 447119, 0, 93.91325351863821, 99.04891304347827, 93.91304347826063,
8, 416591, 0, 93.46721364599811, 96.02272727272727, 93.46698928447972,
9, 416591, 0, 93.46721364599811, 96.02272727272727, 93.46698928447972,
10, 416591, 0, 93.46721364599811, 96.02272727272727, 93.46698928447972,
11, 416591, 0, 93.46721364599811, 96.02272727272727, 93.46698928447972,
12, 113615, 0, 73.0044448356291, 75.0, 73.00380228136882,
13, 113615, 0, 73.0044448356291, 75.0, 73.00380228136882,
14, 113615, 0, 73.0044448356291, 75.0, 73.00380228136882,
15, 113615, 0, 73.0044448356291, 75.0, 73.00380228136882,
16, 40831, 0, 1.2539492052607089, 1.5625, 1.2539184952978044,
17, 40831, 0, 1.2539492052607089, 1.5625, 1.2539184952978044,
18, 10207, 0, 1.224649750171451, 1.52587890625, 1.2245297805642634,
