Layer	Compute_Cycles	Overall_Utilization
0	117962	17.63
1	541241	81.95
2	485639	89.7
3	485639	89.7
4	447119	93.91
5	447119	93.91
6	447119	93.91
7	447119	93.91
8	416591	93.47
9	416591	93.47
10	416591	93.47
11	416591	93.47
12	113615	73.0
13	113615	73.0
14	113615	73.0
15	113615	73.0
16	40831	1.25
17	40831	1.25
18	10207	1.22
