LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 441.0, 44217, 1.0, 408.0, 39168, 375.0, 918.0, 75008, -4195.0, -1.0, 6137, -4195.0, -1.0, 39168, 1174.0, 1318.0, 73984,
1, 1.0, 2592.0, 665856, 1.0, 2559.0, 589824, 2526.0, 3069.0, 75008, -12583.0, -1.0, 92416, -62915.0, -1.0, 589824, 3325.0, 3469.0, 73984,
2, 1.0, 2592.0, 665856, 1.0, 2559.0, 589824, 2526.0, 3069.0, 75008, -12583.0, -1.0, 92416, -62915.0, -1.0, 589824, 3325.0, 3469.0, 73984,
3, 1.0, 616.0, 92416, 1.0, 256.0, 256, 406.0, 766.0, 1385, -12583.0, -1.0, 92416, -4195.0, -1.0, 256, 1277.0, 1277.0, 361,
4, 1.0, 361.0, 361, 1.0, 616.0, 92416, 871.0, 1126.0, 1280, -4195.0, -1.0, 361, -12583.0, -1.0, 92416, 1382.0, 1382.0, 256,
5, 1.0, 256.0, 256, 1.0, 256.0, 256, 766.0, 766.0, 1025, -4195.0, -1.0, 256, -4195.0, -1.0, 256, 1277.0, 1277.0, 1,
6, 1.0, 616.0, 92416, 1.0, 257.0, 512, 406.0, 767.0, 1746, -12583.0, -1.0, 92416, -4195.0, -1.0, 512, 1277.0, 1278.0, 722,
7, 1.0, 722.0, 722, 1.0, 1083.0, 261364, 1232.0, 1593.0, 1386, -4195.0, -1.0, 722, -29361.0, -1.0, 261364, 1743.0, 1743.0, 362,
