LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 2220.0, 88434, 1.0, 2315.0, 117504, 152.0, 2441.0, 75520, -4195.0, -1.0, 6137, -4195.0, -1.0, 39168, 2441.0, 3018.0, 73984,
1, 1.0, 15126.0, 1331712, 1.0, 15221.0, 1769472, 2303.0, 15347.0, 75520, -12583.0, -1.0, 92416, -62915.0, -1.0, 589824, 15347.0, 15924.0, 73984,
2, 1.0, 15126.0, 1331712, 1.0, 15221.0, 1769472, 2303.0, 15347.0, 75520, -12583.0, -1.0, 92416, -62915.0, -1.0, 589824, 15347.0, 15924.0, 73984,
3, 1.0, 1380.0, 92416, 1.0, 1276.0, 768, 255.0, 1402.0, 1129, -12583.0, -1.0, 92416, -4195.0, -1.0, 256, 1529.0, 1531.0, 361,
4, 1.0, 976.0, 722, 1.0, 1103.0, 92416, 487.0, 1229.0, 768, -4195.0, -1.0, 361, -12583.0, -1.0, 92416, 1229.0, 1230.0, 256,
5, 1.0, 256.0, 256, 1.0, 256.0, 256, 382.0, 382.0, 257, -4195.0, -1.0, 256, -4195.0, -1.0, 256, 509.0, 509.0, 1,
6, 1.0, 1380.0, 92416, 1.0, 1277.0, 1536, 255.0, 1403.0, 1490, -12583.0, -1.0, 92416, -4195.0, -1.0, 512, 1529.0, 1534.0, 722,
7, 1.0, 2674.0, 2166, 1.0, 2779.0, 261364, 848.0, 2905.0, 1130, -4195.0, -1.0, 722, -29361.0, -1.0, 261364, 2927.0, 2929.0, 362,
