Layer	Compute_Cycles	Overall_Utilization
0	51869	53.58
1	9309	33.69
2	32291	81.27
3	37239	33.69
4	37239	33.69
5	18717	67.02
6	32291	81.27
7	37239	33.69
8	18717	67.02
9	32291	81.27
10	37239	33.69
11	10695	62.91
12	28115	86.56
13	26415	47.49
14	42783	62.9
15	16587	75.63
16	28115	86.56
17	26415	47.49
18	16587	75.63
19	28115	86.56
20	26415	47.49
21	16587	75.63
22	28115	86.56
23	26415	47.49
24	10207	70.54
25	29159	71.11
26	24447	51.31
27	40831	70.53
28	18399	68.18
29	29159	71.11
30	24447	51.31
31	18399	68.18
32	29159	71.11
33	24447	51.31
34	18399	68.18
35	29159	71.11
36	24447	51.31
37	18399	68.18
38	29159	71.11
39	24447	51.31
40	18399	68.18
41	29159	71.11
42	24447	51.31
43	9199	89.05
44	37871	38.02
45	20415	61.45
46	36799	89.05
47	17391	72.13
48	37871	38.02
49	20415	61.45
50	17391	72.13
51	37871	38.02
52	20415	61.45
53	34783	1.44
