LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 51725.0, 1778700, 1.0, 51807.0, 1787520, 146.0, 51869.0, 798720, -16777.0, -1.0, 150528, -2098.0, -1.0, 9408, 51869.0, 63968.0, 774400,
1, 1.0, 9247.0, 200704, 1.0, 9247.0, 200704, 63.0, 9309.0, 206976, -20971.0, -1.0, 200704, -2098.0, -1.0, 4096, 9309.0, 12444.0, 200704,
2, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 32291.0, 35206.0, 186624,
3, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 37239.0, 49782.0, 802816,
4, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 37239.0, 49782.0, 802816,
5, 1.0, 18655.0, 802816, 1.0, 18655.0, 802816, 255.0, 18717.0, 206976, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 18717.0, 21852.0, 200704,
6, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 32291.0, 35206.0, 186624,
7, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 37239.0, 49782.0, 802816,
8, 1.0, 18655.0, 802816, 1.0, 18655.0, 802816, 255.0, 18717.0, 206976, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 18717.0, 21852.0, 200704,
9, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 32291.0, 35206.0, 186624,
