LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 37886.0, 1778700, 1.0, 37904.0, 893760, 146.0, 38030.0, 798720, -16777.0, -1.0, 150528, -2098.0, -1.0, 9408, 38094.0, 44143.0, 774400,
1, 1.0, 7759.0, 200704, 1.0, 7759.0, 102400, 63.0, 7885.0, 207104, -20971.0, -1.0, 200704, -2098.0, -1.0, 4096, 7949.0, 9516.0, 200704,
2, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 19089.0, 20546.0, 186624,
3, 1.0, 15709.0, 401408, 1.0, 15773.0, 409600, 63.0, 15899.0, 815616, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 15899.0, 22170.0, 802816,
4, 1.0, 15709.0, 401408, 1.0, 15773.0, 409600, 63.0, 15899.0, 815616, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 15899.0, 22170.0, 802816,
5, 1.0, 12559.0, 802816, 1.0, 12559.0, 409600, 255.0, 12685.0, 207104, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 12749.0, 14316.0, 200704,
6, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 19089.0, 20546.0, 186624,
7, 1.0, 15709.0, 401408, 1.0, 15773.0, 409600, 63.0, 15899.0, 815616, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 15899.0, 22170.0, 802816,
8, 1.0, 12559.0, 802816, 1.0, 12559.0, 409600, 255.0, 12685.0, 207104, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 12749.0, 14316.0, 200704,
9, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 19089.0, 20546.0, 186624,
10, 1.0, 15709.0, 401408, 1.0, 15773.0, 409600, 63.0, 15899.0, 815616, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 15899.0, 22170.0, 802816,
