LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 31071.0, 1778700, 1.0, 31089.0, 451584, 146.0, 31343.0, 798976, -16777.0, -1.0, 150528, -2098.0, -1.0, 9408, 31535.0, 34559.0, 774400,
1, 1.0, 7015.0, 200704, 1.0, 7015.0, 53248, 63.0, 7269.0, 207360, -20971.0, -1.0, 200704, -2098.0, -1.0, 4096, 7461.0, 8244.0, 200704,
2, 1.0, 12621.0, 1679616, 1.0, 12585.0, 442368, 575.0, 12839.0, 192768, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 13031.0, 13759.0, 186624,
3, 1.0, 7015.0, 200704, 1.0, 7207.0, 212992, 63.0, 7461.0, 809472, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7461.0, 10596.0, 802816,
4, 1.0, 7015.0, 200704, 1.0, 7207.0, 212992, 63.0, 7461.0, 809472, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7461.0, 10596.0, 802816,
5, 1.0, 9511.0, 802816, 1.0, 9511.0, 212992, 255.0, 9765.0, 207360, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 9957.0, 10740.0, 200704,
6, 1.0, 12621.0, 1679616, 1.0, 12585.0, 442368, 575.0, 12839.0, 192768, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 13031.0, 13759.0, 186624,
7, 1.0, 7015.0, 200704, 1.0, 7207.0, 212992, 63.0, 7461.0, 809472, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7461.0, 10596.0, 802816,
8, 1.0, 9511.0, 802816, 1.0, 9511.0, 212992, 255.0, 9765.0, 207360, -81787.0, -1.0, 802816, -2098.0, -1.0, 16384, 9957.0, 10740.0, 200704,
9, 1.0, 12621.0, 1679616, 1.0, 12585.0, 442368, 575.0, 12839.0, 192768, -20971.0, -1.0, 200704, -4195.0, -1.0, 36864, 13031.0, 13759.0, 186624,
10, 1.0, 7015.0, 200704, 1.0, 7207.0, 212992, 63.0, 7461.0, 809472, -20971.0, -1.0, 200704, -2098.0, -1.0, 16384, 7461.0, 10596.0, 802816,
11, 1.0, 2596.0, 215296, 1.0, 2681.0, 131072, 255.0, 2935.0, 109696, -20971.0, -1.0, 200704, -4195.0, -1.0, 32768, 3063.0, 3483.0, 107648,
12, 1.0, 4639.0, 778752, 1.0, 4603.0, 442368, 1151.0, 4857.0, 88064, -10486.0, -1.0, 100352, -16777.0, -1.0, 147456, 4985.0, 5322.0, 86528,
13, 1.0, 4609.0, 200704, 1.0, 4849.0, 262144, 127.0, 5103.0, 405504, -10486.0, -1.0, 100352, -8389.0, -1.0, 65536, 5103.0, 6670.0, 401408,
14, 1.0, 5660.0, 430592, 1.0, 5873.0, 524288, 255.0, 6127.0, 434688, -20971.0, -1.0, 200704, -14680.0, -1.0, 131072, 6127.0, 7808.0, 430592,
15, 1.0, 3593.0, 401408, 1.0, 3705.0, 262144, 511.0, 3959.0, 102400, -41942.0, -1.0, 401408, -8389.0, -1.0, 65536, 4087.0, 4478.0, 100352,
16, 1.0, 4639.0, 778752, 1.0, 4603.0, 442368, 1151.0, 4857.0, 88064, -10486.0, -1.0, 100352, -16777.0, -1.0, 147456, 4985.0, 5322.0, 86528,
17, 1.0, 4609.0, 200704, 1.0, 4849.0, 262144, 127.0, 5103.0, 405504, -10486.0, -1.0, 100352, -8389.0, -1.0, 65536, 5103.0, 6670.0, 401408,
18, 1.0, 3593.0, 401408, 1.0, 3705.0, 262144, 511.0, 3959.0, 102400, -41942.0, -1.0, 401408, -8389.0, -1.0, 65536, 4087.0, 4478.0, 100352,
19, 1.0, 4639.0, 778752, 1.0, 4603.0, 442368, 1151.0, 4857.0, 88064, -10486.0, -1.0, 100352, -16777.0, -1.0, 147456, 4985.0, 5322.0, 86528,
20, 1.0, 4609.0, 200704, 1.0, 4849.0, 262144, 127.0, 5103.0, 405504, -10486.0, -1.0, 100352, -8389.0, -1.0, 65536, 5103.0, 6670.0, 401408,
21, 1.0, 3593.0, 401408, 1.0, 3705.0, 262144, 511.0, 3959.0, 102400, -41942.0, -1.0, 401408, -8389.0, -1.0, 65536, 4087.0, 4478.0, 100352,
22, 1.0, 4639.0, 778752, 1.0, 4603.0, 442368, 1151.0, 4857.0, 88064, -10486.0, -1.0, 100352, -16777.0, -1.0, 147456, 4985.0, 5322.0, 86528,
23, 1.0, 4609.0, 200704, 1.0, 4849.0, 262144, 127.0, 5103.0, 405504, -10486.0, -1.0, 100352, -8389.0, -1.0, 65536, 5103.0, 6670.0, 401408,
24, 1.0, 720.0, 115200, 1.0, 767.0, 131072, 542.0, 1021.0, 58112, -10486.0, -1.0, 100352, -14680.0, -1.0, 131072, 1021.0, 1245.0, 57600,
25, 1.0, 2447.0, 331776, 1.0, 2559.0, 589824, 2415.0, 2813.0, 37376, -6292.0, -1.0, 50176, -60816.0, -1.0, 589824, 2813.0, 2956.0, 36864,
