Layer	Compute_Cycles	Overall_Utilization
0	31535	5.51
1	7461	2.63
2	13031	12.59
3	7461	10.51
4	7461	10.51
5	9957	7.87
6	13031	12.59
7	7461	10.51
8	9957	7.87
9	13031	12.59
10	7461	10.51
11	3063	13.73
12	4985	30.51
13	5103	15.36
14	6127	27.45
15	4087	19.18
16	4985	30.51
17	5103	15.36
18	4087	19.18
19	4985	30.51
20	5103	15.36
21	4087	19.18
22	4985	30.51
23	5103	15.36
24	1021	44.07
25	2813	46.07
26	3063	25.6
27	4087	44.04
28	1533	51.14
29	2813	46.07
30	3063	25.6
31	1533	51.14
32	2813	46.07
33	3063	25.6
34	1533	51.14
35	2813	46.07
36	3063	25.6
37	1533	51.14
38	2813	46.07
39	3063	25.6
40	1533	51.14
41	2813	46.07
42	3063	25.6
43	3067	16.69
44	10235	8.79
45	8175	9.59
46	12271	16.69
47	5115	15.33
48	10235	8.79
49	8175	9.59
50	5115	15.33
51	10235	8.79
52	8175	9.59
53	10231	0.31
