Layer	Compute_Cycles	Overall_Utilization
0	28055	1.55
1	7601	0.64
2	9587	4.28
3	7601	2.58
4	7601	2.58
5	8945	2.19
6	9587	4.28
7	7601	2.58
8	8945	2.19
9	9587	4.28
10	7601	2.58
11	2555	4.11
12	4347	8.75
13	2299	8.53
14	2555	16.46
15	3067	6.39
16	4347	8.75
17	2299	8.53
18	3067	6.39
19	4347	8.75
20	2299	8.53
21	3067	6.39
22	4347	8.75
23	2299	8.53
24	1533	7.34
25	3325	9.74
26	2555	7.67
27	3067	14.67
28	2045	9.58
29	3325	9.74
30	2555	7.67
31	2045	9.58
32	3325	9.74
33	2555	7.67
34	2045	9.58
35	3325	9.74
36	2555	7.67
37	2045	9.58
38	3325	9.74
39	2555	7.67
40	2045	9.58
41	3325	9.74
42	2555	7.67
43	2045	6.26
44	5629	4.0
45	6135	3.19
46	8183	6.26
47	3069	6.39
48	5629	4.0
49	6135	3.19
50	3069	6.39
51	5629	4.0
52	6135	3.19
53	6139	0.13
