Layer	Compute_Cycles	Overall_Utilization
0	101752	0.32
1	155005	4.47
2	52175	13.05
3	52175	13.05
4	19955	32.88
5	19955	32.88
6	19955	32.88
7	19955	32.88
8	11259	54.04
9	11259	54.04
10	11259	54.04
11	11259	54.04
12	5629	23.02
13	5629	23.02
14	5629	23.02
15	5629	23.02
16	12271	0.07
17	12271	0.07
18	3067	0.06
