LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 100862.0, 1330668, 1.0, 100794.0, 167616, 26.0, 101304.0, 3253504, -16777.0, -1.0, 150528, -2098.0, -1.0, 1728, 33594.0, 101769.0, 3154687,
1, 1.0, 154115.0, 28387584, 1.0, 154047.0, 3575808, 575.0, 154557.0, 3253504, -104855.0, 147866.0, 3282098, -4195.0, -1.0, 36864, 51711.0, 155022.0, 3154687,
2, 1.0, 51477.0, 13939200, 1.0, 51281.0, 3538944, 1151.0, 51791.0, 1573376, -104855.0, 33043.0, 1640775, -16777.0, -1.0, 147456, 35935.0, 53152.0, 1549311,
3, 1.0, 51477.0, 13939200, 1.0, 51281.0, 3538944, 1151.0, 51791.0, 1573376, -104855.0, 33043.0, 1640775, -16777.0, -1.0, 147456, 35935.0, 53152.0, 1549311,
4, 1.0, 19289.0, 6718464, 1.0, 19189.0, 3538944, 2303.0, 19699.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 19955.0, 21412.0, 746496,
5, 1.0, 19289.0, 6718464, 1.0, 19189.0, 3538944, 2303.0, 19699.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 19955.0, 21412.0, 746496,
6, 1.0, 19289.0, 6718464, 1.0, 19189.0, 3538944, 2303.0, 19699.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 19955.0, 21412.0, 746496,
7, 1.0, 19289.0, 6718464, 1.0, 19189.0, 3538944, 2303.0, 19699.0, 752640, -81787.0, -1.0, 802816, -60816.0, -1.0, 589824, 19955.0, 21412.0, 746496,
8, 1.0, 10401.0, 3115008, 1.0, 10749.0, 4718592, 4607.0, 11259.0, 348160, -41942.0, -1.0, 401408, -104855.0, 9470.0, 4718592, 11259.0, 11934.0, 346112,
9, 1.0, 10401.0, 3115008, 1.0, 10749.0, 4718592, 4607.0, 11259.0, 348160, -41942.0, -1.0, 401408, -104855.0, 9470.0, 4718592, 11259.0, 11934.0, 346112,
10, 1.0, 10401.0, 3115008, 1.0, 10749.0, 4718592, 4607.0, 11259.0, 348160, -41942.0, -1.0, 401408, -104855.0, 9470.0, 4718592, 11259.0, 11934.0, 346112,
11, 1.0, 10401.0, 3115008, 1.0, 10749.0, 4718592, 4607.0, 11259.0, 348160, -41942.0, -1.0, 401408, -104855.0, 9470.0, 4718592, 11259.0, 11934.0, 346112,
12, 1.0, 4751.0, 663552, 1.0, 5119.0, 2359296, 4975.0, 5629.0, 74752, -10486.0, -1.0, 100352, -104855.0, 4352.0, 2359296, 5629.0, 5772.0, 73728,
13, 1.0, 4751.0, 663552, 1.0, 5119.0, 2359296, 4975.0, 5629.0, 74752, -10486.0, -1.0, 100352, -104855.0, 4352.0, 2359296, 5629.0, 5772.0, 73728,
14, 1.0, 4751.0, 663552, 1.0, 5119.0, 2359296, 4975.0, 5629.0, 74752, -10486.0, -1.0, 100352, -104855.0, 4352.0, 2359296, 5629.0, 5772.0, 73728,
15, 1.0, 4751.0, 663552, 1.0, 5119.0, 2359296, 4975.0, 5629.0, 74752, -10486.0, -1.0, 100352, -104855.0, 4352.0, 2359296, 5629.0, 5772.0, 73728,
16, 1.0, 11250.0, 4096, 1.0, 11761.0, 2097152, 1022.0, 12271.0, 12288, -2098.0, -1.0, 512, -104855.0, 11752.0, 2097152, 12271.0, 12278.0, 4096,
17, 1.0, 11250.0, 4096, 1.0, 11761.0, 2097152, 1022.0, 12271.0, 12288, -2098.0, -1.0, 512, -104855.0, 11752.0, 2097152, 12271.0, 12278.0, 4096,
18, 1.0, 2046.0, 1024, 1.0, 2533.0, 512000, 1022.0, 3043.0, 3048, -2098.0, -1.0, 512, -52428.0, -1.0, 512000, 3067.0, 3068.0, 1000,
